,index,group,person,image_filename,clerk_term,law_school,appointment,appellate_clerkship,start_location_x,start_location_y,end_location_x,end_location_y,chapter_start_x,chapter_start_y,chapter_end_x,chapter_end_y
63,258,Private Practice,Elbert Lin,Elbert Lin.png,,,,,37,9,45,36,45,36,87.4,0
64,259,Private Practice,James E. Gauch,James E. Gauch.png,,,,,54,3,45,46,45,46,91.2,0
65,260,Private Practice,Steven T. Cottreau,Steven T. Cottreau.png,,,,,55,5,45,56,45,56,95,0
66,261,Private Practice,C. Kevin Marshall,C. Kevin Marshall.png,,,,,53,3,45,66,45,66,0,300
67,262,Private Practice,Brittany Lane Kubisch,Brittany Lane Kubisch.png,,,,,46,4,45,76,45,76,3.8,300
68,263,Private Practice,Madeline Ward Lansky,Madeline Ward Lansky.png,,,,,59,9,45,86,45,86,7.6,300
69,264,Private Practice,Jack L. Millman,Jack L. Millman.png,,,,,41,8,45,96,45,96,11.4,300
70,265,Private Practice,Alexis Zhang,Alexis Zhang.png,,,,,47,5,49,6,49,6,15.2,300
71,266,Private Practice,G. Britton Lucas,G. Britton Lucas.png,,,,,39,4,49,16,49,16,19,300
72,267,Private Practice,Victoria Dorfman,Victoria Dorfman.png,,,,,60,5,49,26,49,26,22.8,300
73,268,Private Practice,Brian C. Lea,Brian C. Lea.png,,,,,53,10,49,36,49,36,26.6,300
74,269,Private Practice,David M. Morrell,David M. Morrell.png,,,,,40,1,49,46,49,46,30.4,300
75,270,Private Practice,Robert N. Stander,Robert N. Stander.png,,,,,40,9,49,56,49,56,34.2,300
76,271,Private Practice,Christopher C. Goodnow,Christopher C. Goodnow.png,,,,,55,3,49,66,49,66,38,300
77,272,Private Practice,Brandt Arthur Leibe,Brandt Arthur Leibe.png,,,,,60,1,49,76,49,76,41.8,300
78,273,Private Practice,Marisa C. Maleck,Marisa C. Maleck.png,,,,,44,10,49,86,49,86,45.6,300
79,274,Private Practice,Amy R. Upshaw,Amy R. Upshaw.png,,,,,46,2,49,96,49,96,49.4,300
80,275,Private Practice,Philip M. Cooper,Philip M. Cooper.png,,,,,35,4,53,6,53,6,53.2,300
81,276,Private Practice,Bijan M. Aboutorabi,Bijan M. Aboutorabi.png,,,,,33,3,53,16,53,16,57,300
82,277,Private Practice,Caroline Stephens Milner,Caroline Stephens Milner.png,,,,,39,9,53,26,53,26,60.8,300
83,278,Private Practice,Jasmine Stein,Jasmine Stein.png,,,,,39,6,53,36,53,36,64.6,300
84,279,Private Practice,Jennifer K. Hardy,Jennifer K. Hardy.png,,,,,31,1,53,46,53,46,68.4,300
85,280,Private Practice,Craig S. Primis,Craig S. Primis.png,,,,,33,10,53,56,53,56,72.2,300
86,281,Private Practice,Kasdin M. Mitchell,Kasdin M. Mitchell.png,,,,,35,9,53,66,53,66,76,300
87,282,Private Practice,Annie M. Wilson,Annie M. Wilson.png,,,,,32,2,53,76,53,76,79.8,300
88,283,Private Practice,Arthur S. Long,Arthur S. Long.png,,,,,45,7,53,86,53,86,83.6,300
89,284,Private Practice,Katherin C. Yarger,Katherin C. Yarger.png,,,,,54,7,53,96,53,96,87.4,300
90,285,Private Practice,Dan Himmelfarb,Dan Himmelfarb.png,,,,,50,10,57,6,57,6,91.2,300
91,286,Private Practice,C. William Courtney,C. William Courtney.png,,,,,53,3,57,16,57,16,95,300
92,287,Private Practice,John D. Adams,John D. Adams.png,,,,,36,10,57,26,57,26,0,600
93,288,Private Practice,Matthew A. Fitzgerald,Matthew A. Fitzgerald.png,,,,,54,4,57,36,57,36,3.8,600
94,289,Private Practice,Brian D. Schmalzbach,Brian D. Schmalzbach.png,,,,,58,1,57,46,57,46,7.6,600
95,290,Private Practice,William R. Peterson,William R. Peterson.png,,,,,57,6,57,56,57,56,11.4,600
96,291,Private Practice,Patrick L. O'Daniel,Patrick L. O'Daniel.png,,,,,37,8,57,66,57,66,15.2,600
97,292,Private Practice,Brian Lipshutz,Brian Lipshutz.png,,,,,30,10,57,76,57,76,19,600
98,293,Private Practice,Gregory F. Miller,Gregory F. Miller.png,,,,,51,1,57,86,57,86,22.8,600
99,294,Private Practice,Chantel L. Febus,Chantel L. Febus.png,,,,,32,6,57,96,57,96,26.6,600
100,295,Private Practice,Richard M. Corn,Richard M. Corn.png,,,,,51,8,61,6,61,6,30.4,600
101,296,Private Practice,Stanford I. Weisburst,Stanford I. Weisburst.png,,,,,39,3,61,16,61,16,34.2,600
102,297,Private Practice,Hannah Clayson Smith,Hannah Clayson Smith.png,,,,,54,7,61,26,61,26,38,600
103,298,Private Practice,Erik S. Jaffe,Erik S. Jaffe.png,,,,,48,4,61,36,61,36,41.8,600
104,299,Private Practice,J. Manuel Valle,J. Manuel Valle.png,,,,,48,2,61,46,61,46,45.6,600
105,300,Private Practice,Jonathan F. Cohn,Jonathan F. Cohn.png,,,,,36,8,61,56,61,56,49.4,600
106,301,Private Practice,Eric D. McArthur,Eric D. McArthur.png,,,,,41,5,61,66,61,66,53.2,600
107,302,Private Practice,Brian P. Morrissey Jr.,Brian P. Morrissey Jr..png,,,,,48,1,61,76,61,76,57,600
108,303,Private Practice,Michelle S. Stratton,Michelle S. Stratton.png,,,,,42,10,61,86,61,86,60.8,600
109,304,Private Practice,Christopher Ernest Mills,Christopher Ernest Mills.png,,,,,56,10,61,96,61,96,64.6,600
110,305,Private Practice,Brenden P. Cullen,Brenden P. Cullen.png,,,,,31,10,65,26,65,26,68.4,600
111,306,Private Practice,Eric J. Kadel Jr.,Eric J. Kadel Jr..png,,,,,52,8,65,36,65,36,72.2,600
112,307,Private Practice,Diane L. McGimsey,Diane L. McGimsey.png,,,,,52,5,65,46,65,46,76,600
113,308,Private Practice,Claire J. Evans,Claire J. Evans.png,,,,,32,3,65,56,65,56,79.8,600
114,309,Private Practice,Matthew B. Nicholson,Matthew B. Nicholson.png,,,,,48,4,65,66,65,66,83.6,600
115,310,Private Practice,Sarah M. Harris,Sarah M. Harris.png,,,,,47,5,65,76,65,76,87.4,600
116,311,Private Practice,Leila K. Mongan,Leila K. Mongan.png,,,,,37,10,65,86,65,86,91.2,600
117,312,Private Practice,Steven J. Lindsay,Steven J. Lindsay.png,,,,,54,2,65,96,65,96,95,600
118,313,Academia,Jim Chen,Jim Chen.png,,,,,58,6,69.5,66,69.5,66,0,30
119,314,Academia,Stephen F. Smith,Stephen F. Smith.png,,,,,54,3,69.5,76,69.5,76,9,30
120,315,Academia,Saikrishna B. Prakash,Saikrishna B. Prakash.png,,,,,36,3,69.5,86,69.5,86,18,30
121,316,Academia,John C. Yoo,John C. Yoo.png,,,,,54,4,69.5,96,69.5,96,27,30
122,317,Academia,Caleb Nelson,Caleb Nelson.png,,,,,59,6,73.5,66,73.5,66,36,30
123,318,Academia,Peter B. Rutledge,Peter B. Rutledge.png,,,,,48,1,73.5,76,73.5,76,45,30
124,319,Academia,Nicole Stelle Garnett,Nicole Stelle Garnett.png,,,,,50,10,73.5,86,73.5,86,54,30
125,320,Academia,Ann M. Scarlett,Ann M. Scarlett.png,,,,,57,6,73.5,96,73.5,96,63,30
126,321,Academia,Jennifer L. Mascott,Jennifer L. Mascott.png,,,,,32,9,77.5,76,77.5,76,72,30
127,322,Academia,Marah C. Smith,Marah C. Smith.png,,,,,30,2,77.5,86,77.5,86,81,30
128,323,Academia,Robert J. Leider,Robert J. Leider.png,,,,,46,2,77.5,96,77.5,96,90,30
129,391,Outliers and Activists,Laura Ingraham,Laura Ingraham.png,,,,,30,6,82,76,82,76,0,30
130,392,Outliers and Activists,John Eastman,John Eastman.png,,,,,36,1,82,86,82,86,14.28,30
131,393,Outliers and Activists,Wendy E. Long,Wendy E. Long.png,,,,,42,3,82,96,82,96,28.56,30
132,394,Outliers and Activists,Carrie Severino,Carrie Severino.png,,,,,35,9,86,86,86,86,42.84,30
133,395,Outliers and Activists,William S. Consovoy,William S. Consovoy.png,,,,,36,10,86,96,86,96,57.12,30
134,396,Outliers and Activists,Janet Y. Galeria,Janet Y. Galeria.png,,,,,48,1,90,86,90,86,71.4,30
135,397,Outliers and Activists,Adam K. Mortara,Adam K. Mortara.png,,,,,46,2,90,96,90,96,85.68,30
